nid,jname,,,,,,,
1,Acoustics,,,,,,,
2,Actuators,,,,,,,
3,Administrative Sciences,,,,,,,
4,Adolescents,,,,,,,
5,Advances in Respiratory Medicine,,,,,,,
6,Aerobiology,,,,,,,
7,Aerospace,,,,,,,
8,Agriculture,,,,,,,
9,AgriEngineering,,,,,,,
10,Agrochemicals,,,,,,,
11,Agronomy,,,,,,,
12,AI,,,,,,,
13,Air,,,,,,,
14,Algorithms,,,,,,,
15,Allergies,,,,,,,
16,Alloys,,,,,,,
17,Analytica,,,,,,,
18,Analytics,,,,,,,
19,Anatomia,,,,,,,
20,Anesthesia Research,,,,,,,
21,Animals,,,,,,,
22,Antibiotics,,,,,,,
23,Antibodies,,,,,,,
24,Antioxidants,,,,,,,
25,Applied Biosciences,,,,,,,
26,Applied Mechanics,,,,,,,
27,Applied Microbiology,,,,,,,
28,Applied Nano,,,,,,,
29,Applied Sciences,,,,,,,
30,Applied System Innovation,,,,,,,
31,AppliedChem,,,,,,,
32,AppliedMath,,,,,,,
33,Aquaculture Journal,,,,,,,
34,Architecture,,,,,,,
35,Arthropoda,,,,,,,
36,Arts,,,,,,,
37,Astronomy,,,,,,,
38,Atmosphere,,,,,,,
39,Atoms,,,,,,,
40,Audiology Research,,,,,,,
41,Automation,,,,,,,
42,Axioms,,,,,,,
43,Bacteria,,,,,,,
44,Batteries,,,,,,,
45,Behavioral Sciences,,,,,,,
46,Beverages,,,,,,,
47,Big Data and Cognitive Computing,,,,,,,
48,BioChem,,,,,,,
49,Bioengineering,,,,,,,
50,Biologics,,,,,,,
51,Biology,,,,,,,
52,Biology and Life Sciences Forum *,,,,,,,
53,Biomass,,,,,,,
54,Biomechanics,,,,,,,
55,BioMed,,,,,,,
56,Biomedicines,,,,,,,
57,BioMedInformatics,,,,,,,
58,Biomimetics,,,,,,,
59,Biomolecules,,,,,,,
60,Biophysica,,,,,,,
61,Biosensors,,,,,,,
62,BioTech,,,,,,,
63,Birds,,,,,,,
64,Blockchains,,,,,,,
65,Brain Sciences,,,,,,,
66,Buildings,,,,,,,
67,Businesses,,,,,,,
68,C,,,,,,,
69,Cancers,,,,,,,
70,Cardiogenetics,,,,,,,
71,Catalysts,,,,,,,
72,Cells,,,,,,,
73,Ceramics,,,,,,,
74,Challenges,,,,,,,
75,ChemEngineering,,,,,,,
76,Chemistry,,,,,,,
77,Chemistry Proceedings *,,,,,,,
78,Chemosensors,,,,,,,
79,Children,,,,,,,
80,Chips,,,,,,,
81,CivilEng,,,,,,,
82,Clean Technologies,,,,,,,
83,Climate,,,,,,,
84,Clinical and Translational Neuroscience,,,,,,,
85,Clinics and Practice,,,,,,,
86,Clocks & Sleep,,,,,,,
87,Coasts,,,,,,,
88,Coatings,,,,,,,
89,Colloids and Interfaces,,,,,,,
90,Colorants,,,,,,,
91,Commodities,,,,,,,
92,Complications,,,,,,,
93,Compounds,,,,,,,
94,Computation,,,,,,,
95,Computer Sciences & Mathematics Forum *,,,,,,,
96,Computers,,,,,,,
97,Condensed Matter,,,,,,,
98,Conservation,,,,,,,
99,Construction Materials,,,,,,,
100,Corrosion and Materials Degradation,,,,,,,
101,Cosmetics,,,,,,,
102,COVID,,,,,,,
103,Crops,,,,,,,
104,Cryptography,,,,,,,
105,Crystals,,,,,,,
106,Current Issues in Molecular Biology,,,,,,,
107,Current Oncology,,,,,,,
108,Dairy,,,,,,,
109,Data,,,,,,,
110,Dentistry Journal,,,,,,,
111,Dermato,,,,,,,
